名称,所在地,開場時間,自転車収容台数,50cc以下の原動機付自転車収容台数,125CC以下の原動機付自転車収容台数,自転車・50cc以下の原動機付自転車収容台数,自動二輪車収容台数,自動二輪車料金,緯度,経度
中央町地下駐輪場,大分市中央町2丁目5番3号,午前6時～午後12時,920,82,0,-,0,-,33.23693692414814,131.60593603708529
若草公園地下駐輪場,大分市中央町2丁目47番地,午前8時30分～午後9時,293,0,66,-,0,-,33.236512953557394,131.60567527026052
竹町西駐輪場,大分市中央町4丁目29番地の1,終日,13,0,0,-,0,-,33.23799689869267,131.6032528027097
府内アクアパーク地下駐輪場,大分市府内町2丁目24番地,午前8時30分～午後11時　,261,0,38,-,0,-,33.236846498113046,131.60961835995917
大手公園駐輪場,大分市府内町3丁目98番地,終日,81,0,9,-,0,-,33.23868043279168,131.61143508553278
大分駅高架下東駐輪場,大分市要町115番,終日,768,0,59,-,8,最初の1時間は無料、以降1時間ごとに100円（ただし、駐輪後24時間の最大料金400円）,33.232118927190136,131.60737700010677
大分駅高架下西駐輪場,大分市要町112番,終日,679,0,78,-,0,-,33.233405381722115,131.60457036057426
金池町駐輪場,大分市金池町2丁目2712番地の1,終日,83,0,0,-,0,-,33.23468853633171,131.60845523629496
牧駅駐輪場,大分市牧1丁目385番地,終日,300,20,0,-,0,-,33.23696748208194,131.63755322710935
高城駅駐輪場,大分市高城新町219番地の5,終日,-,-,-,332,0,-,33.242927538133365,131.655476493748
高城駅南駐輪場,大分市高城西町420番地,終日,195,24,0,-,0,-,33.24268495723076,131.65553499311798
鶴崎駅駐輪場（駅前）,大分市大字鶴崎2686番地の32,終日,246,0,0,-,0,-,33.24225379488501,131.68754259127002
鶴崎駅駐輪場（駅東）,大分市大字鶴崎2686番地の32,終日,450,48,0,-,0,-,33.24257366857931,131.6877731664197
大分大学前駅駐輪場,大分市大字旦野原800番地の2,終日,-,-,-,150,0,-,33.17688209730566,131.61908959245883
敷戸駅駐輪場,大分市大字鴛野1010番地の5,終日,-,-,-,80,0,-,33.187261617626056,131.61579466820422
賀来駅駐輪場,大分市賀来北3丁目715番地の6,終日,120,15,0,-,0,-,33.212992908005106,131.56253723776032
豊後国分駅駐輪場,大分市大字国分907番地の1,終日,79,18,0,-,0,-,33.19538347867627,131.55178600502032
大在駅南駐輪場,大分市大字政所1442番地の9,終日,90,12,0,-,0,-,33.24396494299559,131.71978225821613
大在駅駐輪場,大分市大在中央1丁目1444番地の10,終日,-,-,-,624,0,-,33.243770789197825,131.7211824266909
坂ノ市駅駐輪場,大分市坂ノ市中央1丁目709番地の4,終日,406,20,0,-,0,-,33.23662132366261,131.75225362204068
府内五番街駐輪場,大分市府内町3丁目33番1,終日,51,0,0,-,0,-,33.23739008571017,131.60838378282926
祝祭の広場駐輪場,大分市府内町1丁目1番1号,終日,87,0,0,-,4,最初の1時間は無料、以降1時間ごとに100円（ただし、駐輪後24時間の最大料金400円）,33.2350829614412,131.60861799320622
ライフパル駐輪場,大分市府内町3丁目7番39号,終日,10,0,0,-,0,-,33.237306901605955,131.61022278770304
府内町1丁目駐輪場,大分市府内町1丁目6番3号,終日,21,0,0,-,0,-,33.23580797218558,131.6101855397015
大分駅前東駐輪場,大分市末広町1丁目,終日,0,35,0,-,0,-,33.23469244844974,131.60779715265153
大分駅南口駐輪場,大分市金池南1丁目107番,終日,478,73,0,-,0,-,33.23181509280261,131.60727431220263
